2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:87 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:87 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:89 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:90 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:91 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:23 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:92 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:93 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:94 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:95 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:96 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:97 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:98 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:98 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:99 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:99 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:101 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:102 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:103 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:106 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:106 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:106 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:108 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:109 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:110 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:24 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:111 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:111 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:113 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:114 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:115 networkType:TcpListen connect type:None value:0[0m
2024-10-18 01:17:25 -> [ERROR] /root/workspace/GameServer/10_01_game/src/libs/libserver/network.cpp:340 -  [0;31mfailed to send packet. can't find socket. socket:116 networkType:TcpListen connect type:None value:0[0m
